Time,Reference number,Author(s):,Type of Research:,"Publisher (e.g. ADB, UNESCO, journal name):",Publication year:,Publication language:,Country or countries studied,Region(s) studied:,Levels of education discussed,Research approach:,Research Methods,Theoretical Framework,How is private tutoring framed in the publication?,What is taught during private tutoring?,Where does private tutoring occur?,Does the teacher charge for private tutoring?,How large are the tutoring classes?,How large is the tutoring operation?,Why are students taking private tutoring?,Reviewer Name,Reviewer Name,Type of Publication:,Who provides tutoring services?,How is private tutoring viewed in the article?,Additional important details:,What data set was used?,Data drawn from the following stakeholders:,"If previous answer was equity, then please define equity concern here",Was data set used?
7/20/2013 23:23:41,134,,"Original empirical research, Review of other research",Master's Thesis of Northeast Normal University ,2011,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Mixed-methods,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Master's Thesis,Institution / Professional tutor,Raises concerns,,Survey conducted by author,"Teachers who tutor, Parents / household, Students",The  chance to have private tutoring is not the same. It may expand social inequity.,Yes
7/20/2013 23:45:35,135,,"Original empirical research, Review of other research", Master's Thesis of Zhejiang Normal University ,2010,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Mixed-methods,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Both,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, To provide extra enrichment activities (sports or arts)",,Xia Zhao,Master's Thesis,Not defined,Raises concerns,,Survey conducted by author,Parents / household,The  chance to have private tutoring is not the same. It may expand social inequity.,Yes
7/21/2013 0:05:17,136,,"Review of other research, Policy analysis",Master's Thesis of Central China Normal University ,2011,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive",,Xia Zhao,Master's Thesis,"Classroom teacher, Other K-12 teachers",Does not address benefits or concerns,,,"Teachers who do not tutor, Teachers who tutor, Parents / household, Students",The  chance to have private tutoring is not the same. It may expand social inequity.,No
7/21/2013 0:19:22,137,,"Original empirical research, Review of other research, Policy analysis",Master's Thesis of East China Normal University ,2007,Chinese,China,East Asia,Secondary,Single-country / case,Mixed-methods,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Supply & Demand / Economic Efficiency, Household Expenditures",Subjects taught in school,"On school grounds, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Unclear,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive",,Xia Zhao,Master's Thesis,"Classroom teacher, Other K-12 teachers, College students, retired teachers etc.",Addresses both benefits and concerns,,Survey conducted by author,"Teachers who do not tutor, Teachers who tutor, Parents / household, Students, educator",,Yes
7/21/2013 0:40:25,138,,Review of other research,Master's Thesis of Shangdong Normal University ,2010,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Household Expenditures",Both,"Designated tutoring center or franchise, On-line / via web","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Master's Thesis,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students, retired teachers etc.",Addresses both benefits and concerns,,,"Teachers who tutor, Parents / household, Students, Policymakers, educator",The  chance to have private tutoring is not the same. It may expand social inequity.,No
7/21/2013 1:11:16,139,,"Original empirical research, Review of other research",Master's Thesis of Nanjing Normal University ,2011,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Mixed-methods,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity",Both,"Designated tutoring center or franchise, On-line / via web","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, For cultural reasons",,Xia Zhao,Master's Thesis,Institution / Professional tutor,Raises concerns,,Survey conducted by author,"Parents / household, Students",expand social class gap and social inequity,Yes
8/24/2013 19:32:36,140,,Original empirical research,The Study of New Curriculum,2012,Chinese,,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xia Zhao,Journal Article,"Classroom teacher, Institution / Professional tutor, college students, retired teachers",Does not address benefits or concerns,,,N/A,,No
8/24/2013 20:10:06,141,,Original empirical research,Education Research Monthly,2009,Chinese,,East Asia,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Both,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,Girls who have private tutoring are more than boys because parents think girls are good at study., Data comes from a Chinese household expenditure survey in 2006.,Parents / household,expand social glass gap; The ,Yes
8/24/2013 20:24:07,142,,Review of other research,Journal of Hetian Teachers College,2007,Chinese,,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity",Both,"Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, To provide extra enrichment activities (sports or arts)",,Xia Zhao,Journal Article,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor",Addresses both benefits and concerns,,,N/A,Some poor families cannot stand the private tutoring fees for Children so that it may lead to education inequity.,No
8/24/2013 23:52:25,143,,Original empirical research,Education Research Monthly,2011,Chinese,,East Asia,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear,"Equity, Household Expenditures",Not defined,Not defined,"Yes, they charge a fee",Unclear,,,,Xia Zhao,Journal Article,"Institution / Professional tutor, Parent or family member",Addresses both benefits and concerns,,Data comes from China Family Panel Studies in 2008,"Parents / household, Students","It may reduce education inequity, but also bring new inequity problems.",Yes
8/25/2013 0:03:27,144,,Review of other research,Theory and Practice of Education,2011,Chinese,,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,the relationship between teachers and students,Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, For cultural reasons",,Xia Zhao,Journal Article,Not defined,Does not address benefits or concerns,,,N/A,,No
8/25/2013 0:11:24,145,,Review of other research,Theory and Practice of Education,2011,Chinese,,East Asia,,Single-country / case,Qualitative,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Not defined,Not defined,Not defined,Unclear,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive",,Xia Zhao,Journal Article,Not defined,Does not address benefits or concerns,,,N/A,,No
